node,community
SC35,2
CG4496,2
PAR-1,2
CG8776,2
CG11760,12
EBI-198595,12
EBI-497141,6
CG15631,6
CG5053,24
WTS,4
PEN,19
EBI-102564,17
AGO,17
M(2)21AB,3
CG18591,15
RTF1,15
CG30428,6
SIP1,6
MED4,3
CG7600,3
CPR92A,0
CG1116,28
D19A,6
CG8863,28
CG15576,7
MAD2,2
EBI-198251,6
PK17E,6
CG11768,22
CG7970,19
CG6398,6
CG11266,5
CG11539,24
CP15,19
CG11776,6
L(2)06496,6
BEST2,6
CG15514,6
FCP3C,19
L(2)37CC,19
CG9573,6
EBI-283674,6
EXOSC2,4
RRP45,4
CG7406,11
CG14632,6
CG1091,6
EBI-234969,1
REPT,1
SLD5,6
HOIP,29
EBI-107661,0
CG17162,0
ALPHA-SPEC,6
CG11449,6
GRASP65,19
CG9399,29
SDHB,19
CG11265,8
EBI-167518,8
CG13287,6
CG3731,0
NEJ,2
E5,2
CG14990,27
AUX,19
CHIP,11
CG11909,7
TROL,19
UBX,23
AL,0
CG12641,4
EBI-198120,11
MND,19
BY,6
POLO,17
CG11656,6
CG16826,6
NINAE,0
MAM,3
STV,4
CG31619,19
PPL,4
USNP,6
EBI-134581,22
M4,15
CG6792,15
MNB,2
DOA,2
CG18815,6
CG14254,0
EBI-90335,15
RHOGAP92B,6
SKL,2
LIM3,24
CG8813,6
CG8620,12
CG9624,2
CG30497,2
CG3295,6
JBUG,21
CTP,4
CG33213,6
CNO,2
DSH,22
RBSN,21
GNU,6
CG31482,6
CG2656,6
BEAT-IIB,28
EBI-255760,28
ARU,6
CG14126,6
CKS85A,2
SNAPIN,6
TSR,0
CG6607,6
CG3492,6
CG12018,23
TAM,30
DNAPOL-GAMMA35,30
SU(H),17
H,23
CG7080,0
EBI-199389,0
EBI-176690,5
CG1142,5
MRPL50,24
CG17494,6
CG17599,24
CHT2,24
FZO,6
CG10654,6
CG12645,0
CG15525,6
CG8292,6
VHA14,8
TRN,0
EBI-101869,6
L(3)NEO38,6
CTBP,23
DANR,22
CG5987,25
CG17108,25
AAY,0
CDC2C,2
EBI-194749,6
MED20,3
CG14647,3
ACP29AB,6
EBI-172583,11
CG5625,4
CG14204,6
EBI-200614,6
CG17570,6
EBI-190441,7
CG15211,7
GAMMACOP,17
RPS26,17
EBI-197717,6
SALA,19
CG14011,6
CG17778,6
PEN-2,6
TSP,19
CG33980,19
S6KII,6
CG14512,7
GRIP,7
CG3199,15
CG10650,19
ACT88F,10
CHIC,0
CG5111,6
CG7172,6
ED,24
EBI-125339,19
RPL23A,4
CG12428,22
CG3621,22
FHOS,6
EBI-127547,19
HALE,19
CG9796,19
CG10990,19
OATP74D,21
CG10732,21
CG32036,19
RTGEF,6
CG4570,6
CG15011,6
CG3225,0
HSP83,0
MUS312,19
CG13625,2
CG4865,6
CRP,29
HOE1,24
CANA1,0
CP190,24
SU(HW),24
CG14543,0
CG14153,0
DLG1,19
HR78,6
PBGS,31
CG14089,8
CG5390,2
MED17,3
MED31,3
CG16884,19
CG12861,6
CG13293,6
CG12985,6
EBI-105436,19
VPS36,27
RST,6
CG10494,6
CG7427,21
EBI-128425,6
CG15443,19
CG8359,19
EBI-150373,17
ELFLESS,7
RPS17,27
CG4968,6
SRY-ALPHA,12
ZIP,12
CG2218,6
CG13379,0
AWD,8
EBI-163004,27
FUR2,19
EBI-92440,17
ZORMIN,6
PDE9,5
EBI-109582,5
CYP1,0
LOQS,5
EBI-94206,5
CG31029,6
EBI-451425,7
CG31919,7
CG14235,0
EBI-116936,0
CG7069,4
LAM,8
CG9522,5
EBI-112975,5
NEOS,11
TOM34,29
PHYL,22
CG15580,6
EBI-168011,19
GAMMASNAP,24
PP2A-29B,2
CG14643,6
GFT,2
DNAPOL-IOTA,2
EBI-199603,0
CG9196,5
EBI-219164,6
EBI-219149,6
HSP23,19
EBI-159398,17
PASHA,17
CG4771,2
MST33A,2
HEPH,2
EBI-127204,6
DUTPASE,4
GV1,4
FD64A,10
TSP97E,10
CG2116,6
CG11076,6
EBI-75953,12
EBI-184456,12
BYS,3
TFIIEALPHA,3
A,0
DIP-B,24
EBI-185330,6
GRIM,17
SERP,0
CG7967,6
CG32581,8
CG14982,15
HOMER,15
CG5089,6
CG15370,19
CG16972,4
CG8460,4
TERM,6
EBI-82680,19
CBP20,3
CG7185,3
ADA2B,12
EIF2B-BETA,27
CG6508,28
CG10262,2
DLL,2
HPO,17
ARET,4
SEC5,3
HRG,3
VM26AB,2
EBI-132258,5
MIT(1)15,6
CG12446,19
CG17666,19
COMM,2
NEDD4,2
AEF1,1
CG2199,5
CG6905,22
EBI-102833,22
MUS209,2
EBI-109477,19
VHA68-2,15
EBI-89218,6
CNN,6
CG7942,17
CG17450,0
EBI-179816,6
CG8508,11
DNAPOL-ALPHA73,19
FANCL,19
EBI-128385,2
CG4065,9
BRD8,6
CG9426,6
CG10053,6
EIF4E-7,4
CG2950,4
LD14,19
SBA,6
CG14692,28
RPR,17
CG10531,22
RTNL1,4
L(2)K10201,19
CG11489,0
CPR72EA,0
EBI-1246969,12
PCAF,12
CG4911,2
BAP60,6
OFS,0
CG33275,7
CG5362,7
EBI-194372,19
GRP,2
LMPT,0
NUP58,0
