node,community
M(2)21AB,4
CG18591,7
RTF1,7
CG30428,8
SIP1,8
MED4,18
CG7600,18
CPR92A,1
CG1116,1
D19A,6
CG8863,2
CG15576,9
MAD2,3
EBI-198251,8
PK17E,8
CG11768,16
CG7970,13
CG6398,8
CG11266,7
CG11539,7
CP15,6
CG11776,8
L(2)06496,8
BEST2,8
CG15514,8
FCP3C,6
L(2)37CC,6
CG9573,8
EBI-283674,8
EXOSC2,5
RRP45,5
CG7406,0
CG14632,8
CG1091,8
EBI-234969,23
REPT,23
SLD5,8
HOIP,1
EBI-107661,8
CG17162,8
ALPHA-SPEC,6
CG11449,8
GRASP65,6
CG9399,12
SDHB,6
CG11265,17
EBI-167518,17
CG13287,8
CG3731,6
NEJ,3
E5,3
CG14990,19
AUX,6
CHIP,18
CG11909,18
TROL,13
UBX,18
AL,1
CG12641,6
EBI-198120,19
MND,21
BY,8
POLO,13
CG11656,8
CG16826,1
NINAE,1
MAM,19
STV,22
CG31619,1
PPL,11
USNP,11
EBI-134581,16
M4,20
CG6792,20
MNB,3
DOA,3
CG18815,8
CG14254,1
EBI-90335,20
RHOGAP92B,8
SKL,3
LIM3,8
CG8813,8
CG8620,16
CG9624,3
CG30497,3
CG3295,8
JBUG,19
CTP,22
CG33213,6
CNO,3
DSH,18
RBSN,4
GNU,8
CG31482,8
CG2656,8
BEAT-IIB,2
EBI-255760,2
ARU,8
CG14126,8
CKS85A,3
SNAPIN,8
TSR,16
CG6607,8
CG3492,8
CG12018,1
SU(H),13
H,18
CG7080,1
EBI-199389,1
EBI-176690,7
CG1142,11
MRPL50,9
CG17494,9
CG17599,8
CHT2,8
FZO,8
CG10654,8
CG12645,1
CG15525,8
CG8292,6
VHA14,7
TRN,1
EBI-101869,8
L(3)NEO38,8
CTBP,18
DANR,18
CG5987,19
CG17108,19
AAY,1
CDC2C,3
EBI-194749,3
MED20,4
CG14647,4
ACP29AB,6
EBI-172583,19
CG5625,19
CG14204,6
EBI-200614,8
CG17570,8
EBI-190441,1
CG15211,1
GAMMACOP,13
RPS26,6
EBI-197717,8
SALA,6
CG14011,8
CG17778,8
PEN-2,8
TSP,6
CG33980,6
S6KII,19
CG14512,4
GRIP,4
CG3199,20
CG10650,6
ACT88F,16
CHIC,1
CG5111,8
CG7172,8
ED,8
EBI-125339,6
RPL23A,13
CG12428,17
CG3621,17
FHOS,8
EBI-127547,6
HALE,6
CG9796,7
CG10990,8
OATP74D,23
CG10732,23
CG32036,6
RTGEF,8
CG4570,8
CG15011,8
CG3225,1
HSP83,13
MUS312,24
CG13625,3
CG4865,8
CRP,18
HOE1,8
CANA1,8
CP190,18
SU(HW),13
CG14543,1
CG14153,1
DLG1,6
HR78,11
PBGS,25
CG14089,3
CG5390,3
MED17,4
MED31,19
CG16884,1
CG12861,8
CG13293,6
CG12985,8
EBI-105436,20
VPS36,20
RST,15
CG10494,15
CG7427,3
EBI-128425,8
CG15443,7
CG8359,7
EBI-150373,13
ELFLESS,8
RPS17,8
CG4968,8
SRY-ALPHA,16
ZIP,16
CG2218,8
CG13379,1
AWD,12
EBI-163004,15
FUR2,6
EBI-92440,13
ZORMIN,8
PDE9,4
EBI-109582,4
CYP1,17
LOQS,4
EBI-94206,4
CG31029,8
EBI-451425,9
CG31919,9
CG14235,1
EBI-116936,1
CG7069,12
LAM,12
CG9522,7
EBI-112975,7
NEOS,0
TOM34,14
PHYL,8
CG15580,8
EBI-168011,6
GAMMASNAP,6
PP2A-29B,6
CG14643,8
GFT,3
DNAPOL-IOTA,3
EBI-199603,21
CG9196,12
EBI-219164,8
EBI-219149,8
HSP23,7
EBI-159398,13
PASHA,13
CG4771,3
MST33A,7
HEPH,3
EBI-127204,8
DUTPASE,4
GV1,4
FD64A,14
TSP97E,14
CG2116,6
CG11076,1
EBI-75953,16
EBI-184456,16
BYS,4
TFIIEALPHA,4
A,1
DIP-B,19
EBI-185330,8
GRIM,13
SERP,21
CG7967,7
CG32581,6
CG14982,18
HOMER,18
CG5089,8
CG15370,6
CG16972,19
CG8460,19
TERM,6
EBI-82680,6
CBP20,7
CG7185,7
ADA2B,16
EIF2B-BETA,15
CG6508,21
CG10262,3
DLL,3
HPO,9
ARET,9
SEC5,19
HRG,19
VM26AB,3
EBI-132258,18
MIT(1)15,18
CG12446,6
CG17666,6
COMM,3
NEDD4,3
AEF1,23
CG2199,7
CG6905,18
EBI-102833,18
MUS209,3
EBI-109477,6
VHA68-2,13
EBI-89218,8
CNN,8
CG7942,14
CG17450,1
EBI-179816,6
CG8508,13
DNAPOL-ALPHA73,6
FANCL,12
EBI-128385,3
CG4065,4
BRD8,1
CG9426,8
CG10053,8
EIF4E-7,2
CG2950,2
LD14,1
SBA,1
CG14692,9
RPR,13
CG10531,22
RTNL1,22
L(2)K10201,7
CG11489,6
CPR72EA,1
EBI-1246969,16
PCAF,16
CG4911,3
BAP60,8
OFS,1
CG33275,13
CG5362,6
EBI-194372,8
GRP,3
LMPT,1
NUP58,8
CG7928,8
SGT,4
POLE2,4
EBI-105310,6
EBI-117860,6
DLC90F,12
P130CAS,8
GRIP71,8
EBI-196643,6
IMPE1,6
CG8455,3
CG9027,3
TRL,16
CG2224,5
ACF1,13
TIF-IA,14
HSP68,14
CG15308,1
CG2052,6
CG6393,8
CG6654,22
CG6543,3
SNCF,8
CG8929,0
S6K,3
STET,18
S,18
USF,1
CG6685,1
SOP,1
HLH4C,8
CDC2,3
CYCE,3
EF2B,1
CG11873,13
EBI-115621,1
EBI-121909,20
CG13889,7
AATS-PHE,7
DL,18
U2AF38,1
CG7971,7
PLAP,6
CG10943,8
CANA,8
CG17134,17
GBETA76C,17
GM130,8
EBI-161439,8
CG14546,3
CG9418,8
EBI-128171,6
CG14767,6
CG14119,3
YP2,12
CG14869,1
CG14246,6
ECD,3
EBI-160257,3
CG15561,9
EBI-86340,9
CG10418,23
CG2021,9
EBI-114041,1
CG5555,6
CDLC2,22
OSI6,22
SKPC,3
CG9316,3
ARPC3B,8
SMG6,3
CG1745,20
SU(VAR)205,20
EBI-176747,1
EBI-128409,21
KOKO,3
FRY,3
MCM5,3
CG15167,6
RPL21,12
RAPS,8
CG7323,14
CG17667,1
MP1,1
CG4589,19
EBI-151243,1
EBI-83388,8
CG12256,1
TOLLO,2
CG9776,3
EBI-185260,1
CG14323,7
CG15881,7
CG7488,8
CG4335,0
CG15771,6
CG5149,14
HLHM3,18
PVF1,20
EBI-178970,20
CYP4G1,1
CG5270,19
EBI-167768,9
CG4835,6
HSP70AB,6
EBI-83139,1
BRM,14
DALAO,14
R,3
ESN,9
MTNB,1
CG9288,17
EF1ALPHA48D,1
VHA13,13
CG17777,1
CG31217,6
CG12491,7
CG5478,8
CG32159,6
EBI-102987,2
EBI-189914,2
CG1193,0
EBI-177531,0
BRK,6
CG32486,23
CG3630,6
SOL,6
CG13581,7
CALX,7
KUZ,18
PXT,1
L(2)03709,9
EBI-122840,6
TH,13
GS1,1
IRE-1,14
CG8310,8
PP2B-14D,8
MEI-9,24
EBI-150176,18
DIP2,9
X11L,9
ALPHA-CATENIN-RELATED,8
EBI-161602,8
STY,6
BSH,1
PABP,7
KIN17,18
EBI-139287,6
EIF-4A,6
CG6443,6
EBI-204491,1
EBI-85750,8
EBI-530681,8
CG3919,8
CG17244,8
MES4,0
MTS,6
HLHM5,18
TAP,18
CG5525,14
EBI-186095,1
CG18304,13
RPS3A,6
VHA16,4
SSRBETA,23
CG2278,8
NCA,15
CG9754,8
CG6359,8
CG2712,3
PLU,3
MRPL45,0
CG5731,3
EBI-157400,3
CG18259,8
DOR,3
CG7173,6
MYO10A,6
CYCC,3
L(3)S147910,3
CG8965,13
CG9883,13
RUX,3
CG14798,3
EBI-206481,0
CG8907,1
CG31038,9
CG31012,9
CG6833,20
CG3918,7
CG11906,8
CG5798,3
RHO1,13
CG14442,8
CG13085,20
CG6856,8
CG3353,8
CG7430,6
TRXR-1,9
PAK,3
EBI-207836,6
EBI-207795,4
EBI-193297,1
EBI-152228,20
RAP2L,13
CG17374,13
PGLYM87,3
CG4365,14
CG5466,1
CG1707,3
OR45A,2
FUCTB,2
CG13197,2
CG9511,2
EBI-118333,2
FRQ2,8
LANB1,6
TLL,1
LECTIN-29CA,1
CG10512,20
OPA,6
CG13627,1
CG12237,6
CG7206,9
CG9170,20
EBI-175261,22
CG11896,22
EIF2B-ALPHA,23
EBI-112502,23
CG15634,1
CYP6G2,19
BSK,9
SPN-F,8
CG10365,8
LACE,13
HSC70-4,13
CG12796,9
PROS29,9
TANGO6,8
CG1104,6
CG5862,6
EBI-86660,3
USP,3
CG2046,8
EBI-102597,19
STAM,3
CG32635,9
EBI-186953,9
CG4049,3
KEAP1,18
DIMM,3
CG9099,16
SALM,16
CG14317,3
L(1)G0004,8
EBI-151120,3
MLE,26
FU12,26
GLO,1
MTOR,13
SUCB,3
EBI-74966,3
CG7911,8
CG14671,1
CG12316,8
CG9173,6
CG7414,19
GEL,3
GP150,3
CG15219,8
GUS,3
CG11166,3
RGL,13
PROS26.4,9
PROSALPHA6T,9
PORIN,0
CG9772,3
IA2,7
CDK4,3
CG13840,1
CG13063,1
CG14578,6
EBI-133084,3
EBI-83112,8
RPS7,8
INV,8
EBI-86723,13
EBI-203651,12
LK6,8
RPL5,8
CG9510,1
DHD,1
MRPL51,7
CG9740,7
CDK7,13
NOA36,6
BICD,8
CYT-C-P,1
CG14850,13
CREBA,2
CG14634,1
CSN4,8
CG5026,8
EBI-198486,4
CG3501,12
CG32406,8
CG10681,8
GRIP128,8
CYCH,3
CG31550,1
CG3075,1
EBI-100575,13
SOB,19
CG13277,7
CG9837,8
CG15658,23
CG10889,23
CG13032,8
EBI-152886,2
ICE,2
CG4325,8
CG7386,8
EBI-162921,1
RPS3,1
L(1)G0136,1
CG31373,1
EBI-183080,1
RPL4,8
CG18806,8
MRPL44,8
CG32158,0
NACP60E,13
CG18292,8
CUL-2,3
DWG,3
EBI-196831,6
CG14545,8
CG18301,19
EBI-216413,22
SISA,8
SRC64B,8
SPASE22-23,8
CG1143,1
CG5890,1
CG15861,3
EBI-95855,4
HSP60B,18
CG3107,7
PKA-C1,8
CG2540,1
CRK,17
DLGAP1,6
CG3221,3
STAR1,20
CHRO,1
CG4691,18
DNAPOL-DELTA,13
CG14816,3
DAP,3
CG15043,3
PATR-1,20
TJ,6
SAS-4,18
